id,ユーザ名,取引内容,利用ポイント,取得ポイント,残高ポイント,登録日時,更新日時
2720,U43991896ae3c2a53d2ac89672444c41f,障害発生によるご迷惑に対するポイント付与,0,20,3952,2024-07-16 08:58:31.662271+00:00,2024-07-16 08:58:31.663270+00:00
2719,U43991896ae3c2a53d2ac89672444c41f,障害発生によるご迷惑に対するポイント付与,0,20,3932,2024-07-16 08:57:38.308353+00:00,2024-07-16 08:57:38.309352+00:00
2718,U43991896ae3c2a53d2ac89672444c41f,障害発生によるご迷惑に対するポイント付与,0,20,3912,2024-07-16 08:57:13.902741+00:00,2024-07-16 08:57:13.902741+00:00
2717,U43991896ae3c2a53d2ac89672444c41f,利用料引落,0,449,3892,2024-07-09 07:47:40.644333+00:00,2024-07-09 07:47:40.645313+00:00
2716,U43991896ae3c2a53d2ac89672444c41f,月額利用料,449,0,3443,2024-07-09 07:46:55.868151+00:00,2024-07-09 07:46:55.876124+00:00
2715,U43991896ae3c2a53d2ac89672444c41f,月額利用料,449,0,3892,2024-07-09 01:11:57.456888+00:00,2024-07-09 01:11:57.459886+00:00
2714,U43991896ae3c2a53d2ac89672444c41f,月額利用料,449,0,4341,2024-07-07 08:34:07.344578+00:00,2024-07-07 08:34:07.573448+00:00
2713,U43991896ae3c2a53d2ac89672444c41f,ポイント購入,0,4500,4790,2024-07-06 09:31:16.082166+00:00,2024-07-06 09:31:16.086164+00:00
2712,U43991896ae3c2a53d2ac89672444c41f,障害発生によるご迷惑に対するポイント付与,0,20,290,2024-07-06 04:35:08.738828+00:00,2024-07-06 04:35:08.738828+00:00
2711,U43991896ae3c2a53d2ac89672444c41f,障害発生によるご迷惑に対するポイント付与,0,20,270,2024-07-06 04:34:02.259643+00:00,2024-07-06 04:34:02.260641+00:00
2710,U43991896ae3c2a53d2ac89672444c41f,片側からのいいね課金,1,0,250,2024-06-26 07:30:30.708110+00:00,2024-06-26 07:30:30.713105+00:00
2709,U43991896ae3c2a53d2ac89672444c41f,メッセージ送信課金,7,0,251,2024-06-26 00:09:37.203453+00:00,2024-06-26 00:09:37.206458+00:00
2708,U43991896ae3c2a53d2ac89672444c41f,片側からのいいね課金,2,0,258,2024-06-26 00:06:40.689232+00:00,2024-06-26 00:06:40.691230+00:00
2707,U43991896ae3c2a53d2ac89672444c41f,障害発生によるご迷惑に対するポイント付与,0,20,260,2024-06-21 09:37:43.214928+00:00,2024-06-21 09:37:43.476802+00:00
2706,U43991896ae3c2a53d2ac89672444c41f,障害発生によるご迷惑に対するポイント付与,0,20,240,2024-06-21 09:14:37.737934+00:00,2024-06-21 09:14:37.739935+00:00
2705,U43991896ae3c2a53d2ac89672444c41f,障害発生によるご迷惑に対するポイント付与,0,20,220,2024-06-21 09:13:40.292245+00:00,2024-06-21 09:13:40.765038+00:00
2704,U43991896ae3c2a53d2ac89672444c41f,障害発生によるご迷惑に対するポイント付与,0,20,200,2024-06-21 09:09:13.925866+00:00,2024-06-21 09:09:14.385924+00:00
2703,U43991896ae3c2a53d2ac89672444c41f,障害発生によるご迷惑に対するポイント付与,0,20,180,2024-06-20 03:09:27.059348+00:00,2024-06-20 03:09:27.060336+00:00
2702,U43991896ae3c2a53d2ac89672444c41f,障害発生によるご迷惑に対するポイント付与,0,20,160,2024-06-20 03:07:33.405187+00:00,2024-06-20 03:07:33.405187+00:00
2701,U43991896ae3c2a53d2ac89672444c41f,障害発生によるご迷惑に対するポイント付与,0,20,140,2024-06-20 03:07:09.856187+00:00,2024-06-20 03:07:09.858185+00:00
2700,U43991896ae3c2a53d2ac89672444c41f,障害発生によるご迷惑に対するポイント付与,0,20,120,2024-06-20 02:29:36.308912+00:00,2024-06-20 02:29:36.309910+00:00
2699,U43991896ae3c2a53d2ac89672444c41f,障害発生によるご迷惑に対するポイント付与,0,20,100,2024-06-20 02:28:25.523930+00:00,2024-06-20 02:28:25.524929+00:00
2698,U43991896ae3c2a53d2ac89672444c41f,障害発生によるご迷惑に対するポイント付与,0,20,80,2024-06-20 02:23:51.383822+00:00,2024-06-20 02:23:51.384823+00:00
2697,U43991896ae3c2a53d2ac89672444c41f,障害発生によるご迷惑に対するポイント付与,0,20,60,2024-06-20 02:22:08.972703+00:00,2024-06-20 02:22:08.972703+00:00
2696,U43991896ae3c2a53d2ac89672444c41f,障害発生によるご迷惑に対するポイント付与,0,20,40,2024-06-19 02:30:57.279798+00:00,2024-06-19 02:30:57.280800+00:00
2695,U43991896ae3c2a53d2ac89672444c41f,障害発生によるご迷惑に対するポイント付与,0,20,20,2024-06-19 02:18:05.773370+00:00,2024-06-19 02:18:05.774370+00:00
